SlNo,Name,CustID,Number of Credit Cards,Age,Gender,MaritalStatus,AnnualSalary,MonthlyCCUsage
400,Dorothy,215731,7,30,F,Divorced,"3,39,619",Low (<25%)
401,Bradley,215740,4,32,F,Married,"5,43,113",Low (<25%)
402,Gaige,216330,4,24,F,Married,"1,98,755",Low (<25%)
403,Jenna,216878,4,68,F,Married,"7,49,446",Low (<25%)
404,Dangelo,217046,9,62,F,Divorced,"87,266",Low (<25%)
405,Geoffrey,217514,4,43,M,Divorced,"7,05,259",Low (<25%)
406,Holden,217999,3,32,F,Married,"3,80,082",Low (<25%)
407,Drake,218397,4,45,F,Divorced,"1,62,292",Low (<25%)
408,Aron,218404,10,41,M,Divorced,"5,04,224",Low (<25%)
409,Destin,218454,4,19,F,Divorced,"5,94,499",Low (<25%)
410,Fred,219150,7,60,M,Married,"1,41,347",Low (<25%)
411,Gerardo,220173,3,21,M,Married,"9,33,892",Low (<25%)
412,Ian,220876,3,46,F,Never Married,"4,67,555",Low (<25%)
413,Cristina,220892,3,56,M,Married,"4,00,120",Low (<25%)
414,Dashawn,221314,4,38,F,Married,"8,44,748",Low (<25%)
415,Darrius,221342,3,42,F,Never Married,"7,45,178",Low (<25%)
416,Breanna,221406,3,66,M,Married,"9,95,766",Low (<25%)
417,Jaida,221826,4,21,F,Never Married,"2,08,635",Low (<25%)
418,Issac,222059,6,18,F,Married,"6,61,510",Low (<25%)
419,Bernardo,222201,5,39,M,Never Married,"7,27,679",Low (<25%)
420,Gilbert,222368,4,26,M,Married,"1,28,532",Low (<25%)
421,Edgar,222445,5,37,F,Married,"1,38,682",Low (<25%)
422,Derick,222659,8,34,M,Divorced,"7,26,963",Low (<25%)
423,Danna,222977,3,38,F,Married,"3,57,547",Low (<25%)
424,Donte,223006,5,36,F,Married,"70,337",Low (<25%)
425,Dillan,223392,5,44,M,Married,"9,14,156",Low (<25%)
426,Jesse,223517,10,50,F,Divorced,"4,33,087",Low (<25%)
427,George,223591,3,46,M,Married,"2,04,334",Low (<25%)
428,Cole,223928,8,19,M,Never Married,"1,93,692",Low (<25%)
429,Chris,224024,3,29,M,Married,"9,20,050",Low (<25%)
430,Brent,224224,8,57,M,Never Married,"4,88,334",Low (<25%)
431,Jordan,224380,5,70,F,Married,"2,80,545",Low (<25%)
432,Cullen,224865,5,19,M,Married,"4,44,604",Low (<25%)
433,Dylan,225117,3,27,M,Married,"9,81,601",Low (<25%)
434,Caiden,225396,6,19,M,Married,"8,47,905",Low (<25%)
435,Alexander,225432,3,66,F,Married,"1,80,722",Low (<25%)
436,Callie,225556,5,46,F,Married,"7,42,427",Low (<25%)
437,Adonis,225686,3,44,M,Married,"1,32,630",Low (<25%)
438,Deandre,225714,5,45,F,Married,"1,47,613",Low (<25%)
439,Jaidyn,226303,3,42,M,Never Married,"79,359",Low (<25%)
440,Alex ,226331,1,62,F,Never Married,"2,12,977",Low (<25%)
441,Diego,226367,3,53,M,Married,"8,60,135",Low (<25%)
442,Celina,226661,2,40,M,Married,"8,06,108",Low (<25%)
443,Aron,226678,8,59,F,Married,"2,48,990",Low (<25%)
444,Cynthia,226842,5,33,F,Divorced,"3,51,638",Low (<25%)
445,Jan,226995,4,34,F,Married,"1,46,864",Low (<25%)
446,Alanna,227225,5,45,F,Married,"1,79,195",Low (<25%)
447,Chaz,227465,4,56,M,Never Married,"9,83,272",Low (<25%)
448,Cristobal,228379,8,31,F,Married,"8,76,823",Low (<25%)
449,Devin,228430,5,34,M,Divorced,"1,86,596",Low (<25%)
450,Jayden,228566,6,64,M,Married,"9,97,990",Low
451,Gary,228834,3,28,M,Married,"4,43,896",Medium(<50%)
452,Dimitri,229008,8,48,M,Married,"59,422",Medium(<50%)
453,Ireland,229028,5,63,F,Never Married,"5,18,104",Medium(<50%)
454,Darin,229488,8,61,M,Married,"1,58,121",Medium(<50%)
455,Alexzander,229514,6,58,F,Married,"9,27,975",Medium(<50%)
456,Abbey,230797,3,51,F,Never Married,"9,79,356",Medium(<50%)
457,Cayla,230985,10,44,M,Married,"2,45,293",Medium(<50%)
458,Carlee,231024,2,69,F,Never Married,"2,90,329",Medium(<50%)
459,Braxton,231492,4,49,M,Divorced,"63,046",Medium(<50%)
460,Judah,231582,2,64,M,Married,"5,21,484",Medium(<50%)
461,Alexandro,231587,2,32,F,Divorced,"1,63,376",Medium(<50%)
462,Dustin,231942,6,42,F,Married,"1,45,539",Medium(<50%)
463,Emilia,232140,6,29,M,Married,"6,07,496",Medium(<50%)
464,Jamie,232355,3,59,M,Married,"4,57,178",Medium(<50%)
465,Antwan,232692,3,43,F,Divorced,"2,58,853",Medium(<50%)
466,Elmer,232960,7,51,M,Never Married,"8,42,145",Medium(<50%)
467,Braydon,233067,6,67,F,Married,"8,65,914",Medium(<50%)
468,Emerson,233429,3,69,F,Married,"6,76,639",Medium(<50%)
469,Jade,234350,1,51,M,Never Married,"2,37,241",Medium(<50%)
470,Dorothy,234530,4,27,F,Married,"3,39,106",Medium(<50%)
471,Andres,234543,7,49,M,Married,"9,04,499",Medium(<50%)
472,Jaycee,234593,4,29,F,Never Married,"6,58,993",Medium(<50%)
473,Amir,235000,2,59,M,Never Married,"9,21,007",Medium(<50%)
474,Adriel,235070,6,35,M,Never Married,"1,43,237",Medium(<50%)
475,Aileen,235223,7,58,M,Divorced,"5,82,623",Medium(<50%)
476,Antoine,235240,2,49,M,Never Married,"4,49,832",Medium(<50%)
477,Jamison,235284,9,47,M,Married,"4,89,946",Medium(<50%)
478,Ellis ,235459,1,27,F,Never Married,"3,34,730",Medium(<50%)
479,Harrison,235591,4,62,M,Married,"5,15,589",Medium(<50%)
480,Draven,235832,5,46,M,Divorced,"9,62,445",Medium(<50%)
481,Brenna,236405,10,68,M,Never Married,"8,77,901",Medium(<50%)
482,Baylee,236585,6,60,M,Never Married,"7,84,055",Medium(<50%)
483,Corinne,236674,5,49,M,Married,"8,76,715",Medium(<50%)
484,Jake,237097,3,66,M,Never Married,"6,63,127",Medium(<50%)
485,Claudia,238005,8,57,F,Never Married,"4,26,407",Medium(<50%)
486,Denzel,238794,1,61,M,Married,"9,52,733",Medium(<50%)
487,Brandon,238997,7,47,M,Married,"4,44,807",Medium(<50%)
488,Byron,239021,7,68,M,Married,"8,91,163",Medium(<50%)
489,Eric,239106,7,70,F,Married,"2,40,321",Medium(<50%)
490,Bo,239181,7,57,F,Never Married,"8,19,861",Medium(<50%)
491,Jessica,239427,4,54,M,Never Married,"1,88,823",Medium(<50%)
492,Britney,239483,4,36,F,Married,"9,73,275",Medium(<50%)
493,Jaren,239675,9,27,F,Never Married,"9,31,451",Medium(<50%)
494,Cameron,239767,4,40,F,Never Married,"5,28,914",Medium(<50%)
495,Casey,241031,3,25,F,Married,"4,73,266",Medium(<50%)
496,Carlee,241216,5,39,M,Married,"7,52,610",Medium(<50%)
497,James,241822,4,50,M,Married,"3,91,731",Medium(<50%)
498,Adam,242347,6,41,F,Married,"8,07,100",Medium(<50%)
499,Bennett,242468,6,64,M,Married,"7,43,261",Medium(<50%)
500,Cassidy,242863,5,43,M,Divorced,"6,84,121",Medium(<50%)
501,Jaylin,243527,10,56,M,Married,"75,679",Medium(<50%)
502,Fabiola,243743,6,29,M,Never Married,"1,69,659",Medium(<50%)
503,Graciela,244310,1,20,F,Married,"7,65,079",Medium(<50%)
504,Gino,244644,6,28,M,Married,"2,49,293",Medium(<50%)
505,Bryanna,244665,3,31,M,Married,"8,47,096",Medium(<50%)
506,Clifton,244891,4,31,F,Married,"59,408",Medium(<50%)
507,Dion,245028,3,48,M,Never Married,"2,85,993",Medium(<50%)
508,Darrin,245064,5,64,M,Never Married,"3,39,569",Medium(<50%)
509,Jalynn,245100,4,32,M,Married,"2,29,862",Medium(<50%)
510,Jessie,245163,4,58,M,Never Married,"7,63,194",Medium(<50%)
511,Jayson,246393,5,44,F,Married,"8,68,880",Medium(<50%)
512,Heriberto,246860,5,21,M,Married,"5,95,035",Medium(<50%)
513,Elisabeth,248912,6,20,M,Never Married,"7,16,610",Medium(<50%)
514,Alan,249564,4,62,M,Divorced,"6,49,544",Medium(<50%)
515,Coby,250242,3,64,M,Married,"7,72,852",Medium(<50%)
516,Caitlyn,250488,4,37,M,Divorced,"1,47,339",Medium(<50%)
517,Alexus,250658,6,18,F,Married,"7,89,933",Medium(<50%)
518,Jason,250697,3,68,F,Married,"1,06,841",Medium(<50%)
519,Blaine,251422,4,27,M,Divorced,"6,44,278",Medium(<50%)
520,Alia,251494,10,65,M,Married,"1,62,869",Medium(<50%)
521,Alina,251534,4,40,M,Married,"6,28,958",Medium(<50%)
522,Albert,251641,9,40,M,Divorced,"8,93,521",Medium(<50%)
523,Felicity ,251682,10,22,M,Married,"3,17,438",Medium(<50%)
524,Gordon,251746,5,44,M,Married,"5,49,735",Medium(<50%)
525,Carlos,251885,3,46,M,Never Married,"3,43,190",Medium(<50%)
526,Ibrahim,251946,9,70,M,Never Married,"8,49,370",Medium(<50%)
527,Janae,252936,9,45,M,Married,"7,77,775",Medium(<50%)
528,Blaze,252950,1,21,F,Never Married,"1,50,985",Medium(<50%)
529,Bruce,253176,3,60,F,Never Married,"6,49,346",Medium(<50%)
530,Jaclyn,253401,6,70,M,Never Married,"8,19,844",Medium(<50%)
531,Angelo,253717,2,20,M,Divorced,"4,47,384",Medium(<50%)
532,Elliott,254153,9,50,M,Never Married,"5,33,514",Medium(<50%)
533,Braydon,254438,2,25,M,Married,"4,66,175",Medium(<50%)
534,Jarvis,254938,3,18,M,Married,"8,59,509",Medium(<50%)
535,Hunter,255269,1,48,F,Never Married,"2,88,437",Medium(<50%)
536,Jocelyn,255290,4,55,M,Married,"9,53,069",Medium(<50%)
537,Aaliyah,255465,4,41,M,Never Married,"7,30,801",Medium(<50%)
538,Gwendolyn,255571,7,18,F,Married,"1,44,061",Medium(<50%)
539,Elian,255624,8,45,M,Never Married,"8,26,600",Medium(<50%)
540,Blaze,255628,1,27,M,Married,"4,96,410",Medium(<50%)
541,Danielle,256502,6,62,M,Divorced,"9,85,076",Medium(<50%)
542,Earl,256705,4,41,F,Married,"1,62,047",Medium(<50%)
543,Brenton,257029,4,59,M,Married,"5,15,673",Medium(<50%)
544,Abdiel,257261,4,39,M,Never Married,"5,39,680",Medium(<50%)
545,Elisabeth,257269,6,42,F,Married,"2,85,113",Medium(<50%)
546,Claudia,258520,4,27,F,Married,"9,34,807",Medium(<50%)
547,Bret,258622,7,55,F,Divorced,"1,87,291",Medium(<50%)
548,Coleman,259174,2,40,F,Married,"88,756",Medium(<50%)
549,Alberto,259234,2,21,F,Divorced,"3,99,494",Medium(<50%)
550,Gracie,259516,9,48,F,Never Married,"4,01,618",Medium(<50%)
551,Elise,259938,3,31,M,Never Married,"89,329",Medium(<50%)
552,Agustin,260107,3,53,M,Married,"7,31,584",Medium(<50%)
553,Franklin,260506,5,22,M,Never Married,"8,01,037",Medium(<50%)
554,Jasper,260808,5,30,M,Married,"5,58,904",Medium(<50%)
555,Abbigail,260905,4,55,F,Married,"5,96,108",Medium(<50%)
556,Freddy,260953,4,58,M,Divorced,"96,359",Medium(<50%)
557,Adolfo,260983,7,21,M,Married,"5,85,250",Medium(<50%)
558,Alexis,260992,7,54,M,Married,"8,05,847",Medium(<50%)
559,Gerald,261618,10,23,M,Married,"2,71,589",Medium(<50%)
560,Heaven,262168,2,43,M,Married,"5,06,171",Medium(<50%)
561,Gideon,262341,4,23,M,Never Married,"8,61,607",Medium(<50%)
562,Dustin,262353,4,40,M,Married,"4,01,669",Medium(<50%)
563,Declan,262425,2,62,M,Married,"8,09,559",Medium(<50%)
564,Gustavo,262846,4,55,M,Married,"9,45,790",Medium(<50%)
565,Delaney,263279,3,42,F,Never Married,"5,23,431",Medium(<50%)
566,Darrell,263742,5,54,F,Never Married,"3,01,295",Medium(<50%)
567,Denise,264060,5,56,M,Married,"4,58,203",Medium(<50%)
568,Jahiem,264821,5,20,M,Never Married,"5,11,809",Medium(<50%)
569,Gabriel,265754,4,54,M,Married,"7,95,273",Medium(<50%)
570,Alan,265910,4,42,F,Married,"6,70,161",Medium(<50%)
571,Harold,266837,4,20,M,Married,"9,46,942",Medium(<50%)
572,Bryson,266937,2,70,F,Divorced,"6,19,877",Medium(<50%)
573,Douglas,267000,8,36,F,Divorced,"1,98,921",Medium(<50%)
574,Devonte,267399,3,57,F,Married,"9,00,387",Medium(<50%)
575,Holly,267555,5,24,F,Married,"8,64,636",Medium(<50%)
576,Joel,268874,5,25,F,Married,"4,54,424",Medium(<50%)
577,Denise,268944,4,31,M,Never Married,"1,13,985",Medium(<50%)
578,Gannon,269043,4,42,M,Married,"5,64,620",Medium(<50%)
579,Devan,269075,5,45,M,Married,"84,503",Medium(<50%)
580,Jaiden,269319,7,69,F,Married,"5,07,487",Medium(<50%)
581,Jesus,270914,5,46,F,Married,"2,70,189",Medium(<50%)
582,Bianca,271238,5,66,M,Divorced,"6,45,795",Medium(<50%)
583,Drew,271354,4,19,M,Married,"2,00,581",Medium(<50%)
584,Clarence,271743,3,68,F,Married,"5,99,256",Medium(<50%)
585,Evelyn,271748,2,61,M,Married,"2,45,694",Medium(<50%)
586,Aditya,272227,3,51,M,Divorced,"1,88,111",Medium(<50%)
587,Gian,273075,6,38,F,Never Married,"4,73,708",Medium(<50%)
588,Dalton,273474,4,67,M,Married,"6,13,600",Medium(<50%)
589,Bernard,273682,2,35,M,Divorced,"2,50,851",Medium(<50%)
590,Aleah,273894,10,45,M,Married,"7,56,271",Medium(<50%)
591,Brennen,273903,7,54,M,Married,"3,57,977",Medium(<50%)
592,Jaiden,274548,6,59,F,Married,"9,41,280",Medium(<50%)
593,Colin,275189,5,24,M,Never Married,"2,22,847",Medium(<50%)
594,Destiney,275479,5,51,M,Never Married,"74,594",Medium(<50%)
595,Julissa,276044,7,64,F,Married,"5,61,017",Medium(<50%)
596,Elaina,276373,3,26,M,Married,"8,96,300",Medium(<50%)
597,Caleb,276582,7,34,M,Divorced,"2,20,644",Medium(<50%)
598,Donavan,277094,6,22,M,Divorced,"5,63,356",Medium(<50%)
599,Cassie,277225,4,61,M,Married,"6,83,498",Medium(<50%)
600,Anton,277601,5,18,F,Married,"3,34,967",Medium(<50%)
601,Briana,277618,6,34,M,Never Married,"2,47,709",Medium(<50%)
602,Elizabeth,277646,5,24,M,Never Married,"2,20,972",Medium(<50%)
603,Cecilia,277797,4,32,M,Divorced,"6,16,618",Medium(<50%)
604,Jamir,278019,2,30,F,Divorced,"97,009",Medium(<50%)
605,Gerardo,278733,5,47,M,Married,"2,58,183",Medium(<50%)
606,Jacqueline,278765,7,44,M,Married,"1,86,513",Medium(<50%)
607,Emmalee,279068,2,43,M,Divorced,"8,15,258",Medium(<50%)
608,Carlo,279131,5,37,M,Never Married,"5,01,752",Medium(<50%)
609,Diana,279207,1,66,M,Never Married,"3,41,880",Medium(<50%)
610,Chance,279571,5,32,F,Never Married,"4,09,105",Medium(<50%)
611,Jesus,279652,4,60,M,Never Married,"5,12,567",Medium(<50%)
612,Deangelo,279710,4,25,M,Never Married,"6,45,535",Medium(<50%)
613,Desmond,280182,6,52,M,Never Married,"9,46,176",Medium(<50%)
614,Julio,280349,5,37,M,Married,"2,57,504",Medium(<50%)
615,Giovanni,280551,8,35,F,Married,"8,34,677",Medium(<50%)
616,Corey,281018,8,26,M,Married,"4,66,418",Medium(<50%)
617,Julie,281379,6,22,M,Never Married,"7,00,280",Medium(<50%)
618,Gillian,281832,9,59,M,Married,"2,49,278",Medium(<50%)
619,Dontae,281972,3,57,M,Never Married,"2,03,708",Medium(<50%)
620,Brenda,282001,2,18,M,Married,"8,31,884",Medium(<50%)
621,Aldo,282003,5,34,F,Married,"86,514",Medium(<50%)
622,Devan,282439,4,18,M,Married,"1,92,790",Medium(<50%)
623,Camryn,282599,3,64,M,Never Married,"5,07,352",Medium(<50%)
624,Dwight,282651,10,27,F,Never Married,"4,02,127",Medium(<50%)
625,Amarion,282945,7,31,F,Divorced,"5,16,839",Medium(<50%)
626,Graciela,283194,6,69,M,Married,"1,44,766",Medium(<50%)
627,Dorothy,283221,7,36,M,Never Married,"2,60,385",Medium(<50%)
628,Juliana,283594,5,19,M,Married,"6,45,742",Medium(<50%)
629,Abby,283842,6,21,F,Married,"9,72,679",Medium(<50%)
630,Estefani,283920,3,67,M,Divorced,"7,43,798",Medium(<50%)
631,Derek,283946,5,34,M,Divorced,"7,67,603",Medium(<50%)
632,Damien,284108,6,47,F,Never Married,"7,27,459",Medium(<50%)
633,Eugene,284110,2,42,F,Never Married,"6,79,188",Medium(<50%)
634,Delilah,285155,9,22,M,Divorced,"5,47,228",Medium(<50%)
635,Gian,285383,4,55,F,Divorced,"3,22,526",Medium(<50%)
636,Chad,285537,4,19,M,Divorced,"3,43,068",Medium(<50%)
637,Chana,285576,4,57,M,Never Married,"7,85,813",Medium(<50%)
638,Daniella,285623,6,26,M,Married,"1,79,504",Medium(<50%)
639,Braxton,286287,4,19,M,Never Married,"6,28,511",Medium(<50%)
640,Julianna,286502,4,38,M,Married,"3,88,207",Medium(<50%)
641,Bryson,286746,8,69,M,Married,"9,49,455",Medium(<50%)
642,Brian,287717,5,61,M,Married,"6,53,415",Medium(<50%)
643,Caleb,287992,7,34,F,Divorced,"9,23,326",Medium(<50%)
644,Jaime,288000,5,63,M,Divorced,"66,949",Medium(<50%)
645,Elena,288003,5,63,M,Married,"7,56,116",Medium(<50%)
646,Clarence,288037,8,40,F,Married,"1,29,258",Medium(<50%)
647,Brenda,288629,5,36,M,Divorced,"4,92,463",Medium(<50%)
648,Celine,288801,6,32,M,Divorced,"1,40,092",Medium(<50%)
649,Julianne,289046,4,67,F,Never Married,"4,48,803",Medium(<50%)
650,Hailey,289290,8,47,M,Married,"4,84,445",Medium(<50%)
651,Isabela,289716,9,60,M,Married,"4,57,265",Medium(<50%)
652,Giovanna,289835,4,27,M,Never Married,"1,49,817",Medium(<50%)
653,Jennifer,290000,4,57,F,Married,"2,77,699",Medium(<50%)
654,Diane,290122,5,57,F,Never Married,"4,33,025",Medium(<50%)
655,Ciera,290183,7,44,M,Married,"2,25,512",Medium(<50%)
656,Giancarlo,291021,3,55,M,Never Married,"8,12,290",Medium(<50%)
657,Addison,291532,6,55,F,Married,"2,61,652",Medium(<50%)
658,Clare,292372,4,24,M,Married,"3,09,056",Medium(<50%)
659,Josie,292501,5,49,F,Married,"4,38,923",Medium(<50%)
660,Emiliano,292655,7,64,M,Never Married,"1,28,952",Medium(<50%)
661,Destiney,292936,4,42,F,Married,"5,18,667",Medium(<50%)
662,Carissa,292949,4,68,F,Never Married,"7,37,763",Medium(<50%)
663,Abram,293009,4,58,M,Married,"7,00,789",Medium(<50%)
664,Adeline,293615,3,53,M,Married,"8,77,939",Medium(<50%)
665,Benjamin,293735,7,46,M,Married,"3,86,075",Medium(<50%)
666,Imani,294631,6,26,M,Married,"9,18,149",Medium(<50%)
667,Jazmin,295131,6,36,F,Married,"2,96,625",Medium(<50%)
668,Bryanna,295140,4,40,M,Never Married,"8,51,496",Medium(<50%)
669,Jahiem,295307,8,25,M,Divorced,"6,31,828",Medium(<50%)
670,Gerard,295308,6,35,F,Married,"8,40,918",Medium(<50%)
671,Eliseo,295482,4,52,M,Never Married,"8,21,343",Medium(<50%)
672,Delilah,296249,3,42,M,Married,"2,83,032",Medium(<50%)
673,Emerson,296305,4,23,M,Never Married,"3,15,326",Medium(<50%)
674,Ahmad,296806,4,58,F,Never Married,"5,83,935",Medium(<50%)
675,Alexandre,297165,3,42,M,Married,"8,15,331",Medium(<50%)
676,Frank,297401,2,37,M,Never Married,"3,11,371",Medium(<50%)
677,Johanna,297690,4,25,M,Married,"6,92,143",Medium(<50%)
678,Isiah,297786,4,39,F,Married,"7,06,030",Medium(<50%)
679,Brittney,297866,3,67,M,Married,"2,21,355",Medium(<50%)
680,Jayden,298048,2,23,F,Married,"5,32,696",Medium(<50%)
681,Ericka,298441,4,25,M,Never Married,"7,73,897",Medium(<50%)
682,Derick,298878,5,68,F,Married,"1,48,078",Medium(<50%)
683,Abagail,298939,5,47,M,Married,"2,07,652",Medium(<50%)
684,Brandy,299635,4,50,F,Never Married,"7,52,317",Medium(<50%)
685,Gianni,299698,2,32,M,Married,"3,26,793",Medium(<50%)
686,Jayce,299955,10,40,M,Married,"76,944",Medium(<50%)
687,Erin,300007,3,40,F,Married,"7,01,158",Medium(<50%)
688,Alicia,300569,7,64,M,Divorced,"6,58,979",Medium(<50%)
689,Jaylynn,301051,8,26,F,Married,"4,06,705",Medium(<50%)
690,Aldo,301782,4,60,F,Married,"8,65,079",Medium(<50%)
691,Hunter,302108,4,33,M,Married,"4,42,773",Medium(<50%)
692,Jerry,302733,5,30,M,Married,"2,11,555",Medium(<50%)
693,Jorge,302741,6,46,M,Never Married,"5,01,475",Medium(<50%)
694,Gillian,303063,9,51,M,Married,"5,70,845",Medium(<50%)
695,Ella,303107,4,41,M,Married,"9,25,909",Medium(<50%)
696,Hunter,303135,7,27,M,Never Married,"9,35,909",Medium(<50%)
697,Fabiola,303241,8,62,F,Never Married,"2,27,685",Medium(<50%)
698,Crystal,303926,4,27,F,Married,"4,33,731",Medium(<50%)
699,Brock,303956,1,21,F,Never Married,"4,70,430",Medium(<50%)
700,Galilea,304210,8,64,M,Divorced,"4,73,288",Medium(<50%)
701,Joey ,305062,10,37,M,Never Married,"2,27,866",Medium(<50%)
702,Brionna,305667,6,24,F,Married,"3,23,580",Medium(<50%)
703,Alejandra,306096,1,46,F,Married,"4,53,089",Medium(<50%)
704,Jordon,306112,4,69,M,Married,"6,21,824",Medium(<50%)
705,Carl,306174,4,69,F,Married,"7,57,231",Medium(<50%)
706,Jamie,306412,3,63,M,Married,"4,74,274",Medium(<50%)
707,Chris,306775,5,50,F,Married,"4,31,687",Medium(<50%)
708,Carissa,306906,9,22,M,Married,"78,893",Medium(<50%)
709,Gia,307002,3,51,M,Married,"2,59,678",Medium(<50%)
710,Bridget,307329,1,46,M,Married,"2,02,266",Medium(<50%)
711,Elvis,307657,5,26,F,Never Married,"7,43,750",Medium(<50%)
712,Isabel,307752,1,55,F,Married,"8,91,950",Medium(<50%)
713,Jennifer,308658,6,36,F,Never Married,"1,12,258",Medium(<50%)
714,Carmen,308995,2,43,M,Married,"5,23,512",Medium(<50%)
715,Bobby,309008,1,21,F,Never Married,"5,04,890",Medium(<50%)
716,Joshua,309134,7,27,M,Never Married,"5,09,050",Medium(<50%)
717,Dominic,309179,5,47,F,Never Married,"8,30,623",Medium(<50%)
718,Edith,309510,5,51,M,Married,"7,88,661",Medium(<50%)
719,Jonas,309573,4,52,F,Never Married,"7,13,957",Medium(<50%)
720,Haylee,309737,5,26,F,Never Married,"3,82,384",Medium(<50%)
721,Josh,310337,5,50,F,Divorced,"7,61,151",Medium(<50%)
722,Camryn,310418,6,21,M,Never Married,"7,05,477",Medium(<50%)
723,Cindy,310514,4,68,M,Never Married,"9,46,745",Medium(<50%)
724,Addison,310561,8,49,F,Never Married,"4,45,460",Medium(<50%)
725,Gunner,310682,5,21,F,Married,"6,23,273",Medium(<50%)
726,Isaias,311261,5,61,M,Married,"3,66,327",Medium(<50%)
727,Bradley,311404,5,21,M,Married,"7,99,837",Medium(<50%)
728,Cody,312638,4,68,M,Divorced,"3,96,744",Medium(<50%)
729,Alexzander,312658,10,36,M,Divorced,"2,40,972",Medium(<50%)
730,Caden,312713,4,21,M,Married,"5,66,792",Medium(<50%)
731,Jayda,312909,4,40,F,Never Married,"6,39,111",Medium(<50%)
732,Jonah,313399,9,29,M,Married,"6,40,747",Medium(<50%)
733,Breanna,313548,7,20,F,Married,"4,71,885",Medium(<50%)
734,Damon,314671,1,28,F,Married,"3,00,862",Medium(<50%)
735,Jaidyn,315501,3,20,F,Married,"6,63,333",Medium(<50%)
736,Conor,315846,4,46,F,Married,"9,01,694",Medium(<50%)
737,Johnathon,316266,5,55,F,Never Married,"8,78,856",Medium(<50%)
738,Blaise,316342,5,31,F,Married,"7,35,992",Medium(<50%)
739,Benny,317171,6,36,F,Never Married,"4,15,798",Medium(<50%)
740,Emilee,317604,5,33,F,Never Married,"8,78,306",Medium(<50%)
741,Carson,317687,9,70,F,Married,"9,82,469",Medium(<50%)
742,Baylee,317848,7,61,M,Married,"1,39,039",Medium(<50%)
743,Julien,317941,3,27,M,Married,"5,46,628",Medium(<50%)
744,Braxton,318012,4,29,M,Married,"7,86,319",Medium(<50%)
745,Bethany,318081,3,49,F,Married,"7,32,577",Medium(<50%)
746,Danielle,318689,3,39,F,Married,"7,05,551",Medium(<50%)
747,Alia,318692,5,63,M,Married,"90,713",Medium(<50%)
748,Alaina,318760,2,36,F,Married,"5,40,237",Medium(<50%)
749,Brian,318843,5,53,M,Never Married,"7,17,392",Medium(<50%)
750,Destiny,319330,7,65,M,Married,"2,47,864",Medium(<50%)
751,Elliot,319861,10,19,F,Never Married,"5,60,890",Medium(<50%)
752,Isai,319862,9,33,M,Married,"9,69,952",Medium(<50%)
753,Eugene,320102,4,57,F,Married,"5,17,042",Medium(<50%)
754,Jamari,320630,3,60,M,Married,"5,38,798",Medium(<50%)
755,Haven,321239,3,40,M,Never Married,"1,01,978",Medium(<50%)
756,Derek,321735,7,34,M,Married,"5,97,709",Medium(<50%)
757,Heather,321908,8,39,F,Married,"1,02,124",Medium(<50%)
758,Andy,322242,6,19,M,Divorced,"3,88,147",Medium(<50%)
759,Clay,322503,5,41,M,Married,"9,39,531",Medium(<50%)
760,Darrin,322787,5,52,F,Married,"1,07,037",Medium(<50%)
761,Alana,322835,5,58,M,Never Married,"4,69,581",Medium(<50%)
762,John,322917,4,19,M,Never Married,"9,73,191",Medium(<50%)
763,Breana,323168,10,56,F,Divorced,"1,68,865",Medium(<50%)
764,Jakayla,323372,5,31,M,Divorced,"3,88,342",Medium(<50%)
765,Bailee,324127,4,24,F,Never Married,"7,45,447",Medium(<50%)
766,Carolina,324746,9,23,F,Married,"4,43,998",Medium(<50%)
767,Britney,324919,8,66,M,Married,"8,84,528",Medium(<50%)
768,Christy,325382,4,33,M,Married,"2,81,181",Medium(<50%)
769,Julien,325419,5,18,F,Married,"4,86,126",Medium(<50%)
770,Howard,326077,2,68,F,Never Married,"3,75,338",Medium(<50%)
771,Eddy,326504,2,32,F,Never Married,"4,36,205",Medium(<50%)
772,Carina,327169,8,44,M,Divorced,"2,49,036",Medium(<50%)
773,Eliza,327346,3,69,M,Never Married,"61,891",Medium(<50%)
774,Declan,327398,6,22,M,Never Married,"6,22,185",Medium(<50%)
775,Braeden,327761,6,22,M,Married,"7,72,936",Medium(<50%)
776,Andres,327891,4,68,M,Never Married,"8,51,033",Medium(<50%)
777,Jayla,328792,2,36,M,Never Married,"5,31,982",Medium(<50%)
778,Adrian,329771,5,50,M,Married,"9,88,603",Medium(<50%)
779,Frank,329884,5,49,M,Married,"3,14,557",Medium(<50%)
780,Ellis ,329964,3,46,M,Never Married,"6,14,589",Medium(<50%)
781,Giselle,330879,6,42,F,Never Married,"3,62,629",Medium(<50%)
782,Jaquan,331109,8,48,F,Married,"7,88,856",Medium(<50%)
783,Ahmed,331582,3,19,M,Divorced,"3,49,349",Medium(<50%)
784,Jordon,332403,5,28,F,Never Married,"4,23,300",Medium(<50%)
785,Juliette,332558,8,53,M,Married,"9,82,865",Medium(<50%)
786,Hector,333048,4,59,M,Never Married,"5,09,315",Medium(<50%)
787,Gia,333322,2,45,F,Divorced,"8,68,819",Medium(<50%)
788,Jayden,333429,5,58,F,Never Married,"5,44,044",Medium(<50%)
789,Jaheem,333807,8,52,M,Never Married,"58,423",Medium(<50%)
790,Beatriz,333926,3,60,M,Married,"1,44,810",Medium(<50%)
791,Darien,334031,5,39,F,Married,"3,31,315",Medium(<50%)
